"Examen1" "Examen2" "Examen3" "Definitiva"
"1" 4.6 14 17.4	2
"2" 8.6 31 9.6 2
"3" 5.8 0 0	1
"4" 3.8 0 0	1
"5" 6.4	23.5 20.9 3
"6" 16.8 25 18.9 3
"7" 19 25 28.7 4
"8" 1 0	0 1
"9" 14.4 15 19.7 3
"10" 12.4 26 16.7 3
"11" 12 32 18.9 3
"12" 3.3 0 0 1
"13" 6.4 25 17.8 2
"14" 14.6 30.5 18.1 3
"15" 8.6 18 17.7 2
"16" 16.8 17 16.7 3
"17" 12.8 23.5 19.2 3
"18" 15.2 30 14.8 3
"19" 13 31 25.4 4
"20" 8.6 21.5 13.9 2
"21" 17 22 16.9 3
"22" 7.2 12 5.6 2
"23" 6.4 23 20.7 3
"24" 6.4 11 0 1
"25" 20.6 17 12.6 3
"26" 11.8 22.5 19.7 3 
"27" 8.4 10.5 0 1
"28" 0 18 15.9 2
