"Examen1" "Examen2" "Examen3" "Definitiva"
"1" 13.5 24 20 3
"2" 14 20.5 15 3 
"3" 11 26.5 13 3
"4" 10 21 19 3
"5" 6.5 27 36 4
"6" 11 27.5 20 3
"7" 6.5 0 0 1
"8" 8.5 21 11 2
"9" 4.5 18 4 1
"10" 20.5 24 16 3
"11" 13.5 26 17 3 
"12" 8.5 15 9 2
"13" 17 28 16 3 
"14" 11 17 22 3
"15" 13.5 24.5 11 2
"16" 9.5 12.5 12 2
"17" 11 22 18 3
"18" 19 31 23 4
"19" 10.5 18.5 22 3
"20" 6 28 15 2
"21" 7 26 16 2
"22" 8.5 15 16 2
"23" 9.5 19 8 2
"24" 17.5 12.5 19 2
"25" 9.5 26 23 3
"26" 11 24.5 21 3
"27" 22 31 33 5
"28" 21 25 30 4
