"Examen1" "Examen2" "Examen3" "Definitiva"
"1" 15 14 20 2
"2" 8.5 0 0 1
"3" 19.5 13 23.5 3
"4" 10 6 20.5 2
"5" 12 19 28 3
"6" 7 21 32 3
"7" 0 0 0 1
"8" 20 29 24 4
"9" 13 0 0 1
"10" 0 0 0 1
"11" 10.5 15 34 3
"12" 21 26 28.5 4
"13" 16.5 13 24 3
"14" 21 27 37.5 5
"15" 11 28 20.5 3
"16" 16 23 34.5 4
"17" 17.5 14 29.5 3
"18" 0 0 0 1
"19" 0 0 0 1
"20" 0 0 0 1
"21" 22.5 28.5 36 5
"22" 19.5 25 29 4
"23" 21 32.5 40 5
"24" 20.5 12.5 26.5 3
"25" 18.5 15.5 26 3
"26" 18 32 37 5
"27" 24 35 35.5 5 
"28" 24 25.5 32 4
